,age,albums,alcohol,audios,city,country,first_name,followers,followers_count,friends,groups,has_mobile,has_photo,langs,last_name,life_main,notes,pages,people_main,photos,political,relation,schools,sex,smoking,t1,t2,uid,universities,videos,wall_posts
10,4.0,8.0,3.0,361.0,2.0,1.0,267.0,1980.0,1980.0,565.0,-1.0,1.0,1.0,5.0,566.0,-1.0,46.0,132.0,1.0,697.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,108296.0,2.0,114.0,2456.0
11,4.0,0.0,-1.0,0.0,169.0,1.0,375.0,1883.0,1883.0,21.0,-1.0,1.0,1.0,-1.0,934.0,-1.0,0.0,50.0,-1.0,31.0,-1.0,-1.0,-1.0,2.0,-1.0,0.0,0.0,131762193.0,-1.0,53.0,81.0
12,5.0,3.0,5.0,705.0,1.0,1.0,83.0,2287.0,2287.0,491.0,-1.0,1.0,1.0,1.0,100.0,6.0,9.0,147.0,1.0,102.0,4.0,4.0,1.0,2.0,4.0,0.0,0.0,1459607.0,2.0,92.0,3920.0
13,4.0,2.0,-1.0,0.0,650.0,2.0,286.0,1767.0,1767.0,301.0,-1.0,1.0,1.0,-1.0,921.0,-1.0,12.0,554.0,-1.0,275.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,50759609.0,-1.0,649.0,1010.0
14,4.0,0.0,-1.0,0.0,1.0,1.0,411.0,2579.0,2579.0,1783.0,-1.0,1.0,1.0,-1.0,399.0,-1.0,0.0,81.0,-1.0,201.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,16058101.0,-1.0,85.0,137.0
15,5.0,7.0,-1.0,0.0,650.0,2.0,191.0,1717.0,1717.0,1065.0,-1.0,1.0,1.0,-1.0,395.0,-1.0,22.0,238.0,-1.0,799.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,3081034.0,-1.0,296.0,3086.0
16,4.0,0.0,-1.0,0.0,1.0,1.0,295.0,2461.0,2461.0,3892.0,-1.0,1.0,1.0,-1.0,738.0,-1.0,75.0,668.0,-1.0,2469.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,11693829.0,-1.0,2202.0,10520.0
17,4.0,0.0,-1.0,0.0,183.0,4.0,113.0,1950.0,1950.0,722.0,-1.0,1.0,1.0,-1.0,14.0,-1.0,16.0,108.0,-1.0,7.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,535530.0,-1.0,87.0,7.0
18,5.0,9.0,-1.0,3841.0,1.0,1.0,194.0,1793.0,1793.0,7680.0,-1.0,1.0,1.0,-1.0,869.0,-1.0,11.0,284.0,-1.0,796.0,-1.0,-1.0,-1.0,2.0,-1.0,0.0,0.0,134243966.0,-1.0,4533.0,3523.0
19,4.0,0.0,-1.0,0.0,25.0,1.0,278.0,2616.0,2616.0,693.0,-1.0,1.0,1.0,-1.0,846.0,-1.0,2.0,65.0,-1.0,2.0,-1.0,-1.0,-1.0,2.0,-1.0,0.0,0.0,4333964.0,-1.0,255.0,881.0
20,5.0,4.0,-1.0,0.0,59.0,1.0,342.0,1807.0,1807.0,1157.0,-1.0,1.0,1.0,-1.0,941.0,-1.0,60.0,214.0,-1.0,1288.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,2592858.0,-1.0,737.0,4090.0
